goal,level,day,title,exercises,notes
weight-loss,beginner,monday,Cardio & Bodyweight Circuit,"5 min warm-up: Light jogging or jumping jacks,Circuit (3 rounds):,- 15 Bodyweight squats (Stand with feet shoulder-width apart, lower down as if sitting in a chair),- 10 Push-ups (knee push-ups if needed) (Keep core tight, lower chest to ground),- 20 Mountain climbers (Alternate bringing knees to chest while in plank position),- 30 sec Plank (Keep body straight, engage core),- 1 min Jumping jacks (Full range of motion, land softly),15 min Cool down: Stretching (Focus on legs, chest, and shoulders)","Rest 30 seconds between exercises, 1 min between rounds. Focus on form over speed."
weight-loss,beginner,tuesday,Active Recovery & Mobility,"30 min Light yoga or stretching,Focus on:,- Cat-cow stretch (5 reps, hold each position for 3 seconds),- Child's pose (Hold for 30 seconds),- Downward dog (Hold for 30 seconds, pedal feet),- Standing forward bend (Hold for 30 seconds),- Hip flexor stretch (30 seconds each side),- Shoulder rolls (10 reps each direction)","Keep movements gentle and controlled. Focus on deep breathing."
weight-loss,beginner,wednesday,HIIT & Core Strength,"5 min warm-up: Dynamic stretches,HIIT Circuit (4 rounds):,- 30 sec High knees (Drive knees up high, land softly),- 30 sec Butt kicks (Heels to glutes, quick pace),- 30 sec Jump squats (Explosive jump, soft landing),- 30 sec Rest (Walk in place),Core Circuit (3 rounds):,- 15 Crunches (Keep lower back pressed to floor),- 20 Russian twists (Feet elevated for more challenge),- 30 sec Bicycle crunches (Elbow to opposite knee),- 30 sec Plank (Focus on breathing)","Maintain good form throughout. Modify intensity as needed."
weight-loss,beginner,thursday,Rest & Recovery,"Light stretching routine:,- Neck rolls (5 reps each direction),- Shoulder rolls (10 reps each direction),- Torso twists (10 reps each side),- Hamstring stretches (30 seconds each leg),- Quad stretches (30 seconds each leg),- Calf stretches (30 seconds each leg)","Focus on deep breathing during stretches. Stay hydrated."
weight-loss,beginner,friday,Cardio & Strength Circuit,"5 min warm-up: Light cardio,Circuit (3 rounds):,- 20 Walking lunges (Keep front knee behind toes),- 15 Push-ups (Full range of motion),- 30 sec Wall sit (Back flat against wall),- 20 Jumping jacks (Full range of motion),- 15 Tricep dips (Use chair or bench),10 min Cool down: Walking and stretching","Maintain steady pace throughout. Focus on form."
weight-loss,beginner,saturday,Active Recovery & Yoga,"45 min Yoga flow:,- Sun salutations (3 rounds),- Warrior poses (Hold each for 30 seconds),- Tree pose (30 seconds each side),- Bridge pose (Hold for 30 seconds),- Child's pose (Hold for 1 minute),- Corpse pose (5 minutes)","Focus on breath control and proper alignment."
weight-loss,beginner,sunday,Complete Rest,"Optional light activities:,- Walking (20-30 minutes),- Gentle stretching (10-15 minutes),- Meditation (5-10 minutes)","Listen to your body. Stay hydrated and get plenty of rest."
muscle-gain,beginner,monday,Upper Body - Push Focus,"5 min warm-up: Arm circles, shoulder rolls,Circuit (3 rounds):,- 3x10 Push-ups (Full range of motion),- 3x10 Dumbbell shoulder press (Keep core tight),- 3x10 Tricep dips (Control movement),- 3x10 Chest press (Focus on form),Core:,- 3x15 Crunches (Slow and controlled),- 3x20 Russian twists (Add weight if possible),10 min Cool down: Stretching","Focus on form, rest 60 sec between sets."
muscle-gain,beginner,tuesday,Lower Body Strength,"5 min warm-up: Leg swings, bodyweight squats,Strength Training:,- 3x10 Bodyweight squats (Full depth),- 3x10 Lunges (Each leg, controlled movement),- 3x10 Calf raises (Full range of motion),- 3x10 Glute bridges (Squeeze at top),Accessory Work:,- 3x15 Step-ups (Use bench or stairs),- 3x20 Wall sits (Back flat against wall),10 min Cool down: Stretching","Focus on form over weight. Rest 60 sec between sets."
muscle-gain,beginner,wednesday,Active Recovery,"30 min Light cardio:,- Walking (Brisk pace),- Cycling (Easy resistance),- Swimming (Leisurely pace),Stretching:,- Hamstring stretch (30 sec each leg),- Quad stretch (30 sec each leg),- Shoulder stretch (30 sec each side),- Chest stretch (30 sec)","Keep intensity low. Focus on recovery."
